,,,,,"Measures","Weighted Sum of Income Distribution - Whole Population","Weighted Sum of Income Distribution - Whole Population - RSE","Weighted Sum of Income Distribution - Whole Population - Annotations",
,,,,,"Yorkshire and The Humber (E12000003)",67136,0.00,,
,,,,,"East Midlands (E12000004)",49032,0.00,,
,,,,,"West Midlands (E12000005)",36110,0.00,,
,,,,,"East (E12000006)",45960,0.00,,
,,,,,"London (E12000007)",146530,0.00,,
,,,,,"South East (E12000008)",137093,0.00,,
,,,,,"South West (E12000009)",62482,0.00,,
,,,,,"Wales (W92000004)",10138,0.00,,
,,,,,"Scotland (S92000003)",37836,0.00,,
,,,,,"Northern Ireland (N92000002)",9692,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",1806,0.00,,
,,,,,"South East (E12000008)",1656,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",44760,0.00,,
,,,,,"North West (E12000002)",126292,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",66758,0.00,,
,,,,,"East Midlands (E12000004)",63774,0.00,,
,,,,,"West Midlands (E12000005)",62105,0.00,,
,,,,,"East (E12000006)",87327,0.00,,
,,,,,"London (E12000007)",247645,0.00,,
,,,,,"South East (E12000008)",105978,0.00,,
,,,,,"South West (E12000009)",88799,0.00,,
,,,,,"Wales (W92000004)",54518,0.00,,
,,,,,"Scotland (S92000003)",65216,0.00,,
,,,,,"Northern Ireland (N92000002)",12934,0.00,,
,,,,"All rented privately","North East (E12000001)",19167,0.00,,
,,,,,"North West (E12000002)",59889,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",45106,0.00,,
,,,,,"East Midlands (E12000004)",14052,0.00,,
,,,,,"West Midlands (E12000005)",47839,0.00,,
,,,,,"East (E12000006)",35134,0.00,,
,,,,,"London (E12000007)",97635,0.00,,
,,,,,"South East (E12000008)",90691,0.00,,
,,,,,"South West (E12000009)",38761,0.00,,
,,,,,"Wales (W92000004)",9729,0.00,,
,,,,,"Scotland (S92000003)",25295,0.00,,
,,,,,"Northern Ireland (N92000002)",12661,0.00,,
,"In low income (below threshold)","Not in low income (at or above threshold)","Not in receipt","Owned outright","North East (E12000001)",46471,0.00,,
,,,,,"North West (E12000002)",118829,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",62958,0.00,,
,,,,,"East Midlands (E12000004)",63771,0.00,,
,,,,,"West Midlands (E12000005)",112190,0.00,,
,,,,,"East (E12000006)",72693,0.00,,
,,,,,"London (E12000007)",62126,0.00,,
,,,,,"South East (E12000008)",83844,0.00,,
,,,,,"South West (E12000009)",85551,0.00,,
,,,,,"Wales (W92000004)",76148,0.00,,
,,,,,"Scotland (S92000003)",66713,0.00,,
,,,,,"Northern Ireland (N92000002)",30942,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",21737,0.00,,
,,,,,"North West (E12000002)",3381,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",22082,0.00,,
,,,,,"East Midlands (E12000004)",7111,0.00,,
,,,,,"West Midlands (E12000005)",9900,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",1844,0.00,,
,,,,,"South East (E12000008)",6620,0.00,,
,,,,,"South West (E12000009)",4806,0.00,,
,,,,,"Wales (W92000004)",4730,0.00,,
,,,,,"Scotland (S92000003)",8467,0.00,,
,,,,,"Northern Ireland (N92000002)",6808,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",652,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",979,0.00,,
,,,,,"London (E12000007)",837,0.00,,
,,,,,"South East (E12000008)",675,0.00,,
,,,,,"South West (E12000009)",1265,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",2476,0.00,,
,,,,,"Northern Ireland (N92000002)",360,0.00,,
,,,,"All rented privately","North East (E12000001)",2864,0.00,,
,,,,,"North West (E12000002)",2756,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",6104,0.00,,
,,,,,"East Midlands (E12000004)",923,0.00,,
,,,,,"West Midlands (E12000005)",5501,0.00,,
,,,,,"East (E12000006)",7179,0.00,,
,,,,,"London (E12000007)",3793,0.00,,
,,,,,"South East (E12000008)",9233,0.00,,
,,,,,"South West (E12000009)",6326,0.00,,
,,,,,"Wales (W92000004)",2507,0.00,,
,,,,,"Scotland (S92000003)",3324,0.00,,
,,,,,"Northern Ireland (N92000002)",1803,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",6948,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1095,0.00,,
,,,,,"East Midlands (E12000004)",706,0.00,,
,,,,,"West Midlands (E12000005)",1648,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",1191,0.00,,
,,,,,"South East (E12000008)",707,0.00,,
,,,,,"South West (E12000009)",2022,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",4099,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"All rented privately","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",240,0.00,,
,,"In low income (below threshold)","Not in receipt","Owned outright","North East (E12000001)",70594,0.00,,
,,,,,"North West (E12000002)",287861,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",138731,0.00,,
,,,,,"East Midlands (E12000004)",193507,0.00,,
,,,,,"West Midlands (E12000005)",286505,0.00,,
,,,,,"East (E12000006)",220292,0.00,,
,,,,,"London (E12000007)",219734,0.00,,
,,,,,"South East (E12000008)",232552,0.00,,
,,,,,"South West (E12000009)",191651,0.00,,
,,,,,"Wales (W92000004)",153412,0.00,,
,,,,,"Scotland (S92000003)",129796,0.00,,
,,,,,"Northern Ireland (N92000002)",79531,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",71658,0.00,,
,,,,,"North West (E12000002)",276880,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",301373,0.00,,
,,,,,"East Midlands (E12000004)",140138,0.00,,
,,,,,"West Midlands (E12000005)",221489,0.00,,
,,,,,"East (E12000006)",223424,0.00,,
,,,,,"London (E12000007)",305332,0.00,,
,,,,,"South East (E12000008)",232114,0.00,,
,,,,,"South West (E12000009)",166204,0.00,,
,,,,,"Wales (W92000004)",110449,0.00,,
,,,,,"Scotland (S92000003)",144727,0.00,,
,,,,,"Northern Ireland (N92000002)",79788,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",66523,0.00,,
,,,,,"North West (E12000002)",132960,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",87643,0.00,,
,,,,,"East Midlands (E12000004)",75929,0.00,,
,,,,,"West Midlands (E12000005)",80075,0.00,,
,,,,,"East (E12000006)",63203,0.00,,
,,,,,"London (E12000007)",191824,0.00,,
,,,,,"South East (E12000008)",76768,0.00,,
,,,,,"South West (E12000009)",74485,0.00,,
,,,,,"Wales (W92000004)",77044,0.00,,
,,,,,"Scotland (S92000003)",131883,0.00,,
,,,,,"Northern Ireland (N92000002)",20584,0.00,,
,,,,"All rented privately","North East (E12000001)",33167,0.00,,
,,,,,"North West (E12000002)",90194,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",59684,0.00,,
,,,,,"East Midlands (E12000004)",72040,0.00,,
,,,,,"West Midlands (E12000005)",82910,0.00,,
,,,,,"East (E12000006)",70064,0.00,,
,,,,,"London (E12000007)",192389,0.00,,
,,,,,"South East (E12000008)",95323,0.00,,
,,,,,"South West (E12000009)",54563,0.00,,
,,,,,"Wales (W92000004)",37425,0.00,,
,,,,,"Scotland (S92000003)",49310,0.00,,
,,,,,"Northern Ireland (N92000002)",19098,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",2163,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",2868,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",174146,0.00,,
,,,,,"North West (E12000002)",294930,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",209800,0.00,,
,,,,,"East Midlands (E12000004)",189012,0.00,,
,,,,,"West Midlands (E12000005)",212999,0.00,,
,,,,,"East (E12000006)",130191,0.00,,
,,,,,"London (E12000007)",356846,0.00,,
,,,,,"South East (E12000008)",130091,0.00,,
,,,,,"South West (E12000009)",152832,0.00,,
,,,,,"Wales (W92000004)",128842,0.00,,
,,,,,"Scotland (S92000003)",346674,0.00,,
,,,,,"Northern Ireland (N92000002)",77733,0.00,,
,,,,"All rented privately","North East (E12000001)",30758,0.00,,
,,,,,"North West (E12000002)",61142,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",57322,0.00,,
,,,,,"East Midlands (E12000004)",27774,0.00,,
,,,,,"West Midlands (E12000005)",26495,0.00,,
,,,,,"East (E12000006)",33094,0.00,,
,,,,,"London (E12000007)",46971,0.00,,
,,,,,"South East (E12000008)",24289,0.00,,
,,,,,"South West (E12000009)",14980,0.00,,
,,,,,"Wales (W92000004)",43062,0.00,,
,,,,,"Scotland (S92000003)",24964,0.00,,
,,,,,"Northern Ireland (N92000002)",20515,0.00,,
"2004-05 (cpi, r)","Not in low income (at or above threshold)","Not in low income (at or above threshold)","Not in receipt","Owned outright","North East (E12000001)",475667,0.00,,
,,,,,"North West (E12000002)",1408269,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",976039,0.00,,
,,,,,"East Midlands (E12000004)",924722,0.00,,
,,,,,"West Midlands (E12000005)",1120376,0.00,,
,,,,,"East (E12000006)",1060719,0.00,,
,,,,,"London (E12000007)",1379431,0.00,,
,,,,,"South East (E12000008)",1744512,0.00,,
,,,,,"South West (E12000009)",1177240,0.00,,
,,,,,"Wales (W92000004)",667456,0.00,,
,,,,,"Scotland (S92000003)",923909,0.00,,
,,,,,"Northern Ireland (N92000002)",348681,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",1029512,0.00,,
,,,,,"North West (E12000002)",2714242,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",2044919,0.00,,
,,,,,"East Midlands (E12000004)",1712659,0.00,,
,,,,,"West Midlands (E12000005)",2077921,0.00,,
,,,,,"East (E12000006)",2372966,0.00,,
,,,,,"London (E12000007)",2370467,0.00,,
,,,,,"South East (E12000008)",3541414,0.00,,
,,,,,"South West (E12000009)",1987154,0.00,,
,,,,,"Wales (W92000004)",1150663,0.00,,
,,,,,"Scotland (S92000003)",2089769,0.00,,
,,,,,"Northern Ireland (N92000002)",729232,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",134336,0.00,,
,,,,,"North West (E12000002)",284440,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",271177,0.00,,
,,,,,"East Midlands (E12000004)",194567,0.00,,
,,,,,"West Midlands (E12000005)",295956,0.00,,
,,,,,"East (E12000006)",326910,0.00,,
,,,,,"London (E12000007)",436950,0.00,,
,,,,,"South East (E12000008)",442906,0.00,,
,,,,,"South West (E12000009)",252522,0.00,,
,,,,,"Wales (W92000004)",155622,0.00,,
,,,,,"Scotland (S92000003)",416624,0.00,,
,,,,,"Northern Ireland (N92000002)",52703,0.00,,
,,,,"All rented privately","North East (E12000001)",68166,0.00,,
,,,,,"North West (E12000002)",360188,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",286680,0.00,,
,,,,,"East Midlands (E12000004)",219973,0.00,,
,,,,,"West Midlands (E12000005)",230969,0.00,,
,,,,,"East (E12000006)",400295,0.00,,
,,,,,"London (E12000007)",785107,0.00,,
,,,,,"South East (E12000008)",514549,0.00,,
,,,,,"South West (E12000009)",367182,0.00,,
,,,,,"Wales (W92000004)",122695,0.00,,
,,,,,"Scotland (S92000003)",230439,0.00,,
,,,,,"Northern Ireland (N92000002)",74082,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",903,0.00,,
,,,,,"South West (E12000009)",4197,0.00,,
,,,,,"Wales (W92000004)",696,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",904,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",780,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",2583,0.00,,
,,,,,"South East (E12000008)",1359,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",795,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",152817,0.00,,
,,,,,"North West (E12000002)",367729,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",248230,0.00,,
,,,,,"East Midlands (E12000004)",158314,0.00,,
,,,,,"West Midlands (E12000005)",232493,0.00,,
,,,,,"East (E12000006)",159041,0.00,,
,,,,,"London (E12000007)",260151,0.00,,
,,,,,"South East (E12000008)",204520,0.00,,
,,,,,"South West (E12000009)",175676,0.00,,
,,,,,"Wales (W92000004)",90901,0.00,,
,,,,,"Scotland (S92000003)",265913,0.00,,
,,,,,"Northern Ireland (N92000002)",72112,0.00,,
,,,,"All rented privately","North East (E12000001)",16828,0.00,,
,,,,,"North West (E12000002)",50400,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",54490,0.00,,
,,,,,"East Midlands (E12000004)",18639,0.00,,
,,,,,"West Midlands (E12000005)",22743,0.00,,
,,,,,"East (E12000006)",21795,0.00,,
,,,,,"London (E12000007)",45089,0.00,,
,,,,,"South East (E12000008)",58894,0.00,,
,,,,,"South West (E12000009)",39937,0.00,,
,,,,,"Wales (W92000004)",37596,0.00,,
,,,,,"Scotland (S92000003)",25045,0.00,,
,,,,,"Northern Ireland (N92000002)",19910,0.00,,
,,"In low income (below threshold)","Not in receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",2252,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",1860,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",1546,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",22947,0.00,,
,,,,,"North West (E12000002)",63843,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",41295,0.00,,
,,,,,"East Midlands (E12000004)",59439,0.00,,
,,,,,"West Midlands (E12000005)",47830,0.00,,
,,,,,"East (E12000006)",92382,0.00,,
,,,,,"London (E12000007)",95618,0.00,,
,,,,,"South East (E12000008)",134233,0.00,,
,,,,,"South West (E12000009)",91162,0.00,,
,,,,,"Wales (W92000004)",41993,0.00,,
,,,,,"Scotland (S92000003)",43520,0.00,,
,,,,,"Northern Ireland (N92000002)",5382,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",7305,0.00,,
,,,,,"North West (E12000002)",51068,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",37025,0.00,,
,,,,,"East Midlands (E12000004)",35016,0.00,,
,,,,,"West Midlands (E12000005)",36669,0.00,,
,,,,,"East (E12000006)",35889,0.00,,
,,,,,"London (E12000007)",82783,0.00,,
,,,,,"South East (E12000008)",79847,0.00,,
,,,,,"South West (E12000009)",23804,0.00,,
,,,,,"Wales (W92000004)",6803,0.00,,
,,,,,"Scotland (S92000003)",23272,0.00,,
,,,,,"Northern Ireland (N92000002)",11233,0.00,,
,,,,"All rented privately","North East (E12000001)",16380,0.00,,
,,,,,"North West (E12000002)",44546,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",27453,0.00,,
,,,,,"East Midlands (E12000004)",45365,0.00,,
,,,,,"West Midlands (E12000005)",44932,0.00,,
,,,,,"East (E12000006)",65772,0.00,,
,,,,,"London (E12000007)",150933,0.00,,
,,,,,"South East (E12000008)",106661,0.00,,
,,,,,"South West (E12000009)",42521,0.00,,
,,,,,"Wales (W92000004)",19963,0.00,,
,,,,,"Scotland (S92000003)",35378,0.00,,
,,,,,"Northern Ireland (N92000002)",6892,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",1321,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",23377,0.00,,
,,,,,"North West (E12000002)",97914,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",50636,0.00,,
,,,,,"East Midlands (E12000004)",40878,0.00,,
,,,,,"West Midlands (E12000005)",87575,0.00,,
,,,,,"East (E12000006)",83980,0.00,,
,,,,,"London (E12000007)",266483,0.00,,
,,,,,"South East (E12000008)",107472,0.00,,
,,,,,"South West (E12000009)",82163,0.00,,
,,,,,"Wales (W92000004)",34904,0.00,,
,,,,,"Scotland (S92000003)",61468,0.00,,
,,,,,"Northern Ireland (N92000002)",12977,0.00,,
,,,,"All rented privately","North East (E12000001)",16747,0.00,,
,,,,,"North West (E12000002)",61147,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",44991,0.00,,
,,,,,"East Midlands (E12000004)",13054,0.00,,
,,,,,"West Midlands (E12000005)",23436,0.00,,
,,,,,"East (E12000006)",43347,0.00,,
,,,,,"London (E12000007)",89830,0.00,,
,,,,,"South East (E12000008)",79130,0.00,,
,,,,,"South West (E12000009)",29398,0.00,,
,,,,,"Wales (W92000004)",12401,0.00,,
,,,,,"Scotland (S92000003)",25098,0.00,,
,,,,,"Northern Ireland (N92000002)",10806,0.00,,
,"In low income (below threshold)","Not in low income (at or above threshold)","Not in receipt","Owned outright","North East (E12000001)",35625,0.00,,
,,,,,"North West (E12000002)",116089,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",86922,0.00,,
,,,,,"East Midlands (E12000004)",93391,0.00,,
,,,,,"West Midlands (E12000005)",107235,0.00,,
,,,,,"East (E12000006)",80112,0.00,,
